tractid,dmg_wind_total_tract_1971,dmg_wind_total_tract_2021,dmg_wind_total_tract_2071,dmg_wind_total_tract_1971_mlt7,dmg_wind_total_tract_2021_mlt7,dmg_wind_total_tract_2071_mlt7,affected_wind_over5k_tract_1971,affected_wind_over5k_tract_2021,affected_wind_over5k_tract_2071,dmg_wind_total_residential_tract_1971,dmg_wind_total_residential_tract_2021,dmg_wind_total_residential_tract_2071,dmg_wind_total_commercial_tract_1971,dmg_wind_total_commercial_tract_2021,dmg_wind_total_commercial_tract_2071,dmg_wind_total_industrial_tract_1971,dmg_wind_total_industrial_tract_2021,dmg_wind_total_industrial_tract_2071,dmg_wind_total_public_tract_1971,dmg_wind_total_public_tract_2021,dmg_wind_total_public_tract_2071,dmg_cc_wind_total_tract_1971to2021_ratio_mlt,dmg_cc_wind_total_tract_2021to2071_ratio_mlt,dmg_surge_total_tract_1971,dmg_surge_total_tract_2021,dmg_surge_total_tract_2071,dmg_surge_total_tract_1971_mlt7,dmg_surge_total_tract_2021_mlt7,dmg_surge_total_tract_2071_mlt7,affected_surge_over5k_tract_1971,affected_surge_over5k_tract_2021,affected_surge_over5k_tract_2071,dmg_surge_total_residential_tract_1971,dmg_surge_total_residential_tract_2021,dmg_surge_total_residential_tract_2071,dmg_surge_total_commercial_tract_1971,dmg_surge_total_commercial_tract_2021,dmg_surge_total_commercial_tract_2071,dmg_surge_total_industrial_tract_1971,dmg_surge_total_industrial_tract_2021,dmg_surge_total_industrial_tract_2071,dmg_surge_total_public_tract_1971,dmg_surge_total_public_tract_2021,dmg_surge_total_public_tract_2071,dmg_cc_surge_total_tract_1971to2021_ratio_mlt,dmg_cc_surge_total_tract_2021to2071_ratio_mlt
22075050400,836267.1682150152,982365.0779208628,1516113.4393826388,350K - 1M,350K - 1M,1M - 10M,22,26,47,229351.73732463195,256220.9928871236,355530.766487904,606915.4308903832,726144.0850337391,1160582.672894735,0,0,0,0,0,0,0 to 24%,50 to 99%,245212376.2087,262099455.8963,333736309.1923,> 50M,> 50M,> 50M,1814,1853,1919,181836741.2458,195572801.0047,255837048.9493,57946337.0265,60809687.3371,70572463.6789,2850138.4297,3058601.8302999996,3917769.6048,2579159.5067,2658365.7242,3409026.9593,5.0 to 9.9%,10.0% or more
22051027904,971284.502566341,1163797.874363413,1868432.2594473192,350K - 1M,1M - 10M,1M - 10M,60,75,106,758197.780800945,915063.0738795096,1487515.5682543593,199840.4572865492,232323.99749302273,351225.5058734777,13246.264478846746,16410.80299088093,29691.185319482403,0,0,0,0 to 24%,50 to 99%,244542201.6875,258016662.2957,334612635.9176,> 50M,> 50M,> 50M,1634,1654,1879,221721593.5222,233886807.8023,307354462.0847,17369230.1299,18395663.8903,20796145.2793,2888546.2729,3014133.9059,3336799.9705000003,2562831.7624999997,2720056.6972000003,3125228.5831,5.0 to 9.9%,10.0% or more
22075050100,253618.8362076988,306404.72397716145,460303.2185320938,1 - 350K,1 - 350K,350K - 1M,3,3,4,253618.8362076988,306404.72397716145,460303.2185320938,0,0,0,0,0,0,0,0,0,0 to 24%,50 to 99%,151912609.0097,158076486.1838,173523082.3416,> 50M,> 50M,> 50M,741,744,750,120499785.4415,125349979.0234,137685926.4268,24093910.811,25114331.7848,27508664.0926,4187032.679,4323335.3513,4684837.8742,3131880.0782,3288840.0243,3643653.948,0.0 to 4.9%,5.0 to 9.9%
22089063100,4719607.898887255,5969008.219207527,12419870.427682132,1M - 10M,1M - 10M,10M - 50M,161,249,774,3662634.635719463,4605982.2763981465,9442026.598744834,709707.8810970015,903034.5530804028,1892243.0556821637,26771.840140182005,39056.80508964281,117225.5507009352,320493.5419306081,420934.58463933505,968375.2225542,25 to 49%,100% or more,105514301.8259,148066262.0384,281631844.9636,> 50M,> 50M,> 50M,1204,1623,2425,96916545.9772,137191638.4137,262400807.3153,8597755.8487,10812055.1117,18866888.2565,0,62568.513,364149.3918,0,0,0,10.0% or more,10.0% or more
22057021101,56955866.31650752,73967578.12467004,136040161.12153357,> 50M,> 50M,> 50M,869,909,970,25991137.77902801,34254760.21636669,65810343.603083774,19867149.876356374,25693973.702585388,46839357.77356009,10103588.70581844,12638568.636664009,20635255.773133557,993989.9553046912,1380275.56905396,2755203.971756137,25 to 49%,50 to 99%,102601108.8542,107641628.2508,123237893.6082,> 50M,> 50M,> 50M,540,556,633,76787369.27,80365448.6588,89749031.3692,23590340.0178,24898934.2251,30702788.0474,1657675.7389,1801195.5636,2192064.5799,565723.8275,576049.8033,594009.6117,0.0 to 4.9%,10.0% or more
22051028000,33681.99421682948,38267.12457403436,54803.33475848788,1 - 350K,1 - 350K,1 - 350K,3,3,3,0,0,0,33681.99421682948,38267.12457403436,54803.33475848788,0,0,0,0,0,0,Low Damage,Low Damage,90496560.0891,94950157.7183,107938399.267,> 50M,> 50M,> 50M,528,533,542,85462470.542,89606530.728,101596857.9611,2875818.0447,3096067.7064,3860341.5182,1211641.4076,1255514.3581,1390056.0052,946630.0948,992044.9258,1091143.7825000002,0.0 to 4.9%,10.0% or more
22075050800,1166873.3090621014,1288146.197046109,1659822.917055679,1M - 10M,1M - 10M,1M - 10M,53,60,82,251517.78140126893,280390.3943078451,363754.54835193895,809886.9529306375,889155.9767314678,1132636.4516170414,9992.08175150167,11144.16581505735,16441.551363413986,95476.49297869328,107455.66019173885,146990.36572328483,0 to 24%,25 to 49%,91699302.2354,93637332.1573,99799077.7191,> 50M,> 50M,> 50M,396,399,410,29808264.391,30452981.5302,32322990.4431,56080446.3394,57054589.9832,60378606.8125,4982165.9147,5292473.7508000005,6232868.3543,828425.5903,837286.8931,864612.1092,0.0 to 4.9%,5.0 to 9.9%
22087030105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Damage,No Damage,88538001.6408,91483830.8591,100645656.5059,> 50M,> 50M,> 50M,525,532,545,82993436.2533,85775549.4821,94094214.7431,3975309.7513,4105505.1279,4846508.9641,1153353.6700000002,1178344.7009,1253516.7353,415901.9662,424431.5482,451416.0634,0.0 to 4.9%,10.0% or more
22105954800,3618200.122913363,4578787.280382635,8454671.518122347,1M - 10M,1M - 10M,1M - 10M,77,88,160,3455417.045191505,4367268.6805186635,7982447.283427319,92681.17367428826,117870.1641884273,234056.8633209567,10946.01835018811,13916.958628570708,27682.615217642335,59155.88569738156,79731.47704697345,210484.75615642857,25 to 49%,50 to 99%,62146703.8635,63381648.239,68045918.8718,> 50M,> 50M,> 50M,272,272,278,62146703.8635,63381648.239,68045918.8718,0,0,0,0,0,0,0,0,0,0.0 to 4.9%,5.0 to 9.9%
22103040807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Damage,No Damage,56695880.9033,60624230.756900005,76129182.3012,> 50M,> 50M,> 50M,595,616,698,56393008.394200005,60243124.7024,75257343.5522,222956.659,283345.3484,694266.216,79915.8501,97760.7061,177572.533,0,0,0,5.0 to 9.9%,10.0% or more
